Ward Number,Ward Name,Zone,Assembly Constituency,Covid Zone,Containment Zone,area,male,female,population
183,Chikkalsandra,South,Padmanabhanagar,Green,No,1.09,12995,11682,24677
184,Uttarahalli,Bommanahalli,Bangalore South,Green,No,8.99,11461,10384,21845
185,Yelchenahalli,Bommanahalli,Bangalore South,Green,No,1.58,14896,13104,28000
186,Jaraganahalli,Bommanahalli,Bommanahalli,Green,No,1.28,12519,10780,23299
187,Puttenahalli,Bommanahalli,Bommanahalli,Green,No,2.87,11094,9450,20544
188,Bilekhali,Bommanahalli,Bommanahalli,Green,No,4.24,12050,10460,22510
189,Hongasandra,Bommanahalli,Bommanahalli,Red,Yes,2.16,12307,10751,23058
190,Mangammanapalya,Bommanahalli,Bommanahalli,Green,No,3.52,14625,12766,27391
191,Singasandra,Bommanahalli,Bangalore South,Green,No,9.42,11669,9741,21410
192,Begur,Bommanahalli,Bangalore South,Green,No,18.8,9899,9388,19287
193,Arakere,Bommanahalli,Bommanahalli,Green,No,6.45,13429,11574,25003
194,Gottigere,Bommanahalli,Bangalore South,Green,No,6.49,11402,10124,21526
195,Konanakunte,Bommanahalli,Bangalore South,Green,No,3.42,10662,9519,20181
196,Anjanapura,Bommanahalli,Bangalore South,Green,No,11.92,10787,10293,21080
197,Vasanthpura,Bommanahalli,Bangalore South,Green,No,5.34,13057,11465,24522
198,Hemmigepura,RR Nagar,Yeshwanthpur,Green,No,28.59,12926,11385,24311
